auditory_part_id,total_tone_rts,total_syllable_rts,total_auditory_rts,random_syllable_mean_rt,random_tone_mean_rt,structured_syllable_mean_rt,structured_tone_mean_rt,random_ssl_rt_slope,random_tsl_rt_slope,structured_ssl_rt_slope,structured_tsl_rt_slope,syllable_mean_rt_difference,tone_mean_rt_difference,ssl_rt_slope_difference,tsl_rt_slope_difference,X,visual_part_id,total_image_rts,total_letter_rts,total_visual_rts,random_image_mean_rt,random_letter_mean_rt,structured_image_mean_rt,structured_letter_mean_rt,random_lsl_rt_slope,random_vsl_rt_slope,structured_lsl_rt_slope,structured_vsl_rt_slope,letter_mean_rt_difference,image_mean_rt_difference,lsl_rt_slope_difference,vsl_rt_slope_difference
blast_a_001,95,96,191,736.0165458,322.4291202,703.748695,619.2008351,-3.852,17.525,4.545,-10.11,-0.043841203,0.920424665,-2.179906542,-1.576890157,1,blast_a_001,47,48,95,465.1403232,483.2913753,537.7923448,389.902354,3.454,4.893,2.501,8.145,-0.193235439,0.156193772,-0.275911986,0.664622931
blast_a_002,97,96,193,644.8273997,463.8545061,544.236896,462.2236449,-1.152,-1.818,1.955,-4.449,-0.155996014,-0.003515889,-2.697048611,1.447194719,2,blast_a_002,49,48,97,420.341061,525.648878,478.1179243,170.1381932,-10.351,-2.758,-14.068,0.925,-0.676327297,0.137452342,0.35909574,-1.335387962
blast_a_004,97,96,193,690.8507525,486.1455786,739.3788442,298.3426748,1.683,3.62,-0.253,1.96,0.070243959,-0.386310011,-1.150326797,-0.458563536,3,blast_a_004,46,48,94,420.8449454,471.4845544,437.4473005,461.1935941,-5.126,4.028,0.101,-4.394,-0.021826718,0.039450052,-1.019703472,-2.090863952
blast_a_005,96,96,192,693.1050829,286.0420224,640.5552399,192.0038627,-1.09,9.014,-0.158,10.604,-0.075818003,-0.328756449,-0.855045872,0.176392279,4,blast_a_005,50,48,98,497.4571487,531.4521261,436.0689388,296.8852132,-2.116,1.692,-2.058,-7.12,-0.441369789,-0.123404016,-0.027410208,-5.208037825
blast_a_006,96,96,192,671.2681272,336.1010216,628.2365351,279.6842497,-1.537,9.179,-2.181,4.717,-0.064104924,-0.167856592,0.418998048,-0.486109598,5,blast_a_006,46,48,94,434.4073131,426.3676629,442.3025113,438.8770242,-1.402,-2.637,-0.076,0.111,0.029339376,0.018174644,-0.945791726,-1.042093288
blast_a_007,96,96,192,638.7343656,482.677862,630.7584743,576.8204788,1.108,-1.796,-0.826,0.851,-0.012487024,0.195042334,-1.745487365,-1.473830735,6,blast_a_007,50,48,98,453.8319919,461.4130761,413.5081435,412.790001,-0.591,2.281,2.467,-2.088,-0.105378624,-0.08885193,-5.17428088,-1.915387988
blast_a_008,72,72,144,667.3406752,709.4400206,589.6316207,668.63831,-0.954,-6.01,3.274,2.133,-0.116445854,-0.057512558,-4.431865828,-1.354908486,7,blast_a_008,46,48,94,432.0642903,444.6381625,339.8880555,192.3535433,3.974,1.427,-2.515,-10.154,-0.567393086,-0.213339165,-1.632863613,-8.11562719
blast_a_010,96,96,192,726.7454442,613.2843689,685.4118653,667.8426241,3.109,-0.033,1.01,0.926,-0.056874906,0.088960779,-0.6751367,-29.06060606,8,blast_a_010,48,48,96,470.9667295,525.6719218,521.3359582,454.495723,-4.807,11.786,6.21,0.757,-0.13540042,0.106948592,-2.291866029,-0.935771254
blast_a_011,96,96,192,752.6669861,641.4145976,332.8786197,663.6898755,3.103,1.656,17.589,-0.885,-0.557734528,0.034728361,4.668385433,-1.53442029,9,blast_a_011,48,48,96,433.3102313,444.782261,420.8098858,362.4823074,-3.347,3.653,-1.661,-7.049,-0.185034253,-0.028848489,-0.503734688,-2.929646866
blast_a_012,72,72,144,737.6964021,390.2610393,673.777265,610.2614875,1.273,14.932,-0.373,19.605,-0.086646942,0.563726394,-1.293008641,0.312952049,10,blast_a_012,36,36,72,575.0885311,586.2353219,511.3981172,497.6585707,-0.921,7.12,-7.864,0.231,-0.15109419,-0.110748885,7.53854506,-0.96755618
